,1.000,0.960,0.919,0.875,0.836,0.794,0.750,0.711,0.669,0.625,0.586,0.544,0.500,0.460,0.419,0.376,0.333,0.291,0.251,0.203,0.161,0.126,0.035,0.007,sum
0.960,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
0.919,0.017,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
0.875,0.028,0.0,-0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
0.836,0.028,0.0,-0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023
0.794,0.028,0.0,-0.013,0.043,-0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035
0.750,0.028,0.0,-0.013,0.07,0.0,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052
0.711,0.028,0.0,-0.013,0.07,0.0,-0.033,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072
0.669,0.028,0.0,-0.013,0.07,0.0,-0.033,0.096,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
0.625,0.027,0.0,-0.013,0.07,0.0,-0.032,0.149,0.0,-0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132
0.586,0.027,0.0,-0.013,0.069,0.0,-0.032,0.148,0.0,-0.069,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0.544,0.027,0.0,-0.013,0.068,0.0,-0.032,0.147,0.0,-0.068,0.18,-0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216
0.500,0.027,0.0,-0.013,0.067,0.0,-0.031,0.145,0.0,-0.067,0.269,0.0,-0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274
0.460,0.026,0.0,-0.012,0.066,0.0,-0.031,0.142,0.0,-0.065,0.264,0.0,-0.121,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334
0.419,0.025,0.0,-0.012,0.064,0.0,-0.03,0.138,0.0,-0.063,0.256,0.0,-0.117,0.296,-0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404
0.376,0.024,0.0,-0.011,0.061,0.0,-0.029,0.132,0.0,-0.061,0.245,0.0,-0.112,0.423,0.0,-0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481
0.333,0.023,0.0,-0.011,0.058,0.0,-0.027,0.124,0.0,-0.057,0.231,0.0,-0.106,0.399,0.0,-0.181,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561
0.291,0.021,0.0,-0.01,0.054,0.0,-0.025,0.115,0.0,-0.053,0.214,0.0,-0.098,0.369,0.0,-0.168,0.458,-0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641
0.251,0.019,0.0,-0.009,0.049,0.0,-0.023,0.104,0.0,-0.048,0.194,0.0,-0.089,0.335,0.0,-0.152,0.617,0.0,-0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.718
0.203,0.016,0.0,-0.008,0.042,0.0,-0.019,0.089,0.0,-0.041,0.166,0.0,-0.076,0.286,0.0,-0.13,0.527,0.0,-0.239,0.188,0.0,0.0,0.0,0.0,0.0,0.802
0.161,0.014,0.0,-0.006,0.034,0.0,-0.016,0.074,0.0,-0.034,0.137,0.0,-0.063,0.237,0.0,-0.108,0.437,0.0,-0.198,0.752,-0.392,0.0,0.0,0.0,0.0,0.868
0.126,0.011,0.0,-0.005,0.028,0.0,-0.013,0.06,0.0,-0.028,0.111,0.0,-0.051,0.191,0.0,-0.087,0.353,0.0,-0.16,0.934,0.0,-0.429,0.0,0.0,0.0,0.916
0.035,0.003,0.0,-0.002,0.009,0.0,-0.004,0.019,0.0,-0.009,0.035,0.0,-0.016,0.06,0.0,-0.027,0.11,0.0,-0.05,0.292,0.0,-0.134,0.705,0.0,0.0,0.991
0.007,0.001,0.0,-0.0,0.003,0.0,-0.001,0.005,0.0,-0.003,0.01,0.0,-0.005,0.018,0.0,-0.008,0.032,0.0,-0.015,0.085,0.0,-0.039,2.175,-1.26,0.0,0.999
0.001,0.0,0.0,-0.0,0.001,0.0,-0.0,0.002,0.0,-0.001,0.003,0.0,-0.001,0.005,0.0,-0.002,0.009,0.0,-0.004,0.025,0.0,-0.011,2.082,0.0,-1.106,1.0
