,num_step,method,mult,time,thresh,order,fid
0,15,dpmsolver,multistep,time_quadratic,dynamic_thresholding,3,4.147785484088502
1,15,dpmsolver,multistep,time_quadratic,,3,4.147785484088502
2,15,dpmsolver,multistep,time_quadratic,dynamic_thresholding,2,4.322061733470491
3,15,dpmsolver,multistep,time_quadratic,,2,4.322061733470491
4,15,dpmsolver,singlestep,time_quadratic,dynamic_thresholding,2,4.529398712405737
5,15,dpmsolver,singlestep,time_quadratic,,2,4.529398712405737
6,15,dpmsolver,singlestep,time_quadratic,dynamic_thresholding,3,8.459810804706422
7,15,dpmsolver,singlestep,time_quadratic,,3,8.459810804706422
