,num_step,ts_phase,method,ab_order,fid
0,15,t,t_ab,3,3.550077840198582
1,15,t,t_ab,2,3.740959446466661
2,15,t,rho_rk,3,3.939506067362117
3,15,t,rho_rk,2,3.969898713178054
4,15,t,rho_ab,3,4.475001285265137
5,15,t,rho_ab,2,4.6728378643923065
6,15,rho,t_ab,2,18.43926746591876
7,15,rho,rho_ab,3,29.316445898354004
8,15,rho,rho_ab,2,31.695422550305352
9,15,rho,rho_rk,3,62.02711700909623
10,15,rho,rho_rk,2,62.13343597401246
11,15,rho,t_ab,3,174.63196358818243
