,0.950,0.900,0.850,0.800,0.750,0.700,0.650,0.600,0.550,0.500,0.450,0.400,0.350,0.300,0.250,0.200,0.150,0.100,0.050,0.000,sum
0.950,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0.900,0.047,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.850,0.045,0.05,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
0.800,0.042,0.047,0.052,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0.750,0.039,0.044,0.049,0.055,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.700,0.037,0.041,0.046,0.051,0.058,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
0.650,0.034,0.038,0.042,0.048,0.054,0.062,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
0.600,0.032,0.035,0.039,0.044,0.05,0.057,0.066,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
0.550,0.029,0.032,0.036,0.04,0.046,0.052,0.06,0.071,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
0.500,0.026,0.029,0.033,0.037,0.042,0.048,0.055,0.064,0.076,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
0.450,0.024,0.026,0.029,0.033,0.038,0.043,0.049,0.058,0.068,0.082,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
0.400,0.021,0.023,0.026,0.029,0.033,0.038,0.044,0.051,0.061,0.073,0.089,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
0.350,0.018,0.02,0.023,0.026,0.029,0.033,0.038,0.045,0.053,0.064,0.078,0.097,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
0.300,0.016,0.018,0.02,0.022,0.025,0.029,0.033,0.038,0.045,0.055,0.067,0.083,0.107,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.7
0.250,0.013,0.015,0.016,0.018,0.021,0.024,0.027,0.032,0.038,0.045,0.056,0.069,0.089,0.119,0.167,0.0,0.0,0.0,0.0,0.0,0.75
0.200,0.011,0.012,0.013,0.015,0.017,0.019,0.022,0.026,0.03,0.036,0.044,0.056,0.071,0.095,0.133,0.2,0.0,0.0,0.0,0.0,0.8
0.150,0.008,0.009,0.01,0.011,0.012,0.014,0.016,0.019,0.023,0.027,0.033,0.042,0.054,0.071,0.1,0.15,0.25,0.0,0.0,0.0,0.85
0.100,0.005,0.006,0.007,0.007,0.008,0.01,0.011,0.013,0.015,0.018,0.022,0.028,0.036,0.048,0.067,0.1,0.167,0.333,0.0,0.0,0.9
0.050,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.008,0.009,0.011,0.014,0.018,0.024,0.033,0.05,0.083,0.167,0.5,0.0,0.95
0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
