,999,956,912,869,825,782,738,695,652,608,565,521,478,434,391,347,304,261,217,174,130,087,043,000,sum
956,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
912,0.004,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
869,0.002,0.006,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
825,0.002,0.004,0.008,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
782,0.001,0.003,0.006,0.012,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044
738,0.001,0.002,0.004,0.008,0.016,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062
695,0.001,0.001,0.003,0.006,0.012,0.023,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085
652,0.0,0.001,0.002,0.005,0.009,0.017,0.03,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115
608,0.0,0.001,0.002,0.003,0.007,0.013,0.022,0.038,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152
565,0.0,0.001,0.001,0.003,0.005,0.01,0.017,0.029,0.051,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196
521,0.0,0.0,0.001,0.002,0.004,0.007,0.013,0.022,0.039,0.062,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
478,0.0,0.0,0.001,0.002,0.003,0.006,0.01,0.017,0.03,0.048,0.077,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311
434,0.0,0.0,0.001,0.001,0.002,0.004,0.008,0.013,0.023,0.037,0.06,0.09,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381
391,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.01,0.018,0.029,0.046,0.07,0.109,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456
347,0.0,0.0,0.0,0.001,0.001,0.003,0.005,0.008,0.014,0.022,0.035,0.053,0.083,0.123,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538
304,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.006,0.01,0.016,0.026,0.04,0.062,0.092,0.143,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
261,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.004,0.007,0.012,0.019,0.029,0.045,0.067,0.104,0.157,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702
217,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.008,0.013,0.02,0.031,0.046,0.072,0.109,0.172,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.781
174,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.009,0.013,0.02,0.03,0.047,0.07,0.111,0.192,0.346,0.0,0.0,0.0,0.0,0.0,0.852
130,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.007,0.012,0.017,0.026,0.04,0.063,0.109,0.197,0.429,0.0,0.0,0.0,0.0,0.913
087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.005,0.008,0.012,0.019,0.029,0.051,0.091,0.199,0.534,0.0,0.0,0.0,0.958
043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.005,0.008,0.014,0.025,0.054,0.146,0.727,0.0,0.0,0.988
000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.996,0.0,1.0
-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
