,1.000,0.900,0.900,0.800,0.800,0.700,0.700,0.600,0.600,0.500,0.500,0.400,0.400,0.301,0.300,0.200,0.200,0.101,sum
0.900,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
0.900,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
0.800,0.003,0.003,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022
0.800,0.003,0.003,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021
0.700,0.003,0.003,0.008,0.007,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053
0.700,0.003,0.003,0.008,0.007,0.016,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051
0.600,0.003,0.003,0.008,0.007,0.016,0.014,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0.600,0.003,0.003,0.008,0.007,0.016,0.014,0.029,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105
0.500,0.003,0.003,0.007,0.007,0.015,0.014,0.029,0.026,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204
0.500,0.003,0.003,0.007,0.007,0.015,0.014,0.028,0.025,0.048,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194
0.400,0.003,0.003,0.007,0.006,0.015,0.013,0.027,0.024,0.046,0.042,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
0.400,0.003,0.003,0.007,0.006,0.014,0.013,0.027,0.024,0.045,0.041,0.069,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.321
0.301,0.003,0.002,0.006,0.005,0.013,0.011,0.024,0.021,0.04,0.037,0.062,0.064,0.222,0.0,0.0,0.0,0.0,0.0,0.511
0.300,0.003,0.002,0.006,0.005,0.012,0.011,0.023,0.02,0.038,0.035,0.06,0.061,0.089,0.111,0.0,0.0,0.0,0.0,0.476
0.200,0.002,0.002,0.005,0.004,0.01,0.009,0.018,0.016,0.031,0.028,0.048,0.049,0.071,0.089,0.317,0.0,0.0,0.0,0.698
0.200,0.002,0.002,0.004,0.004,0.009,0.008,0.017,0.015,0.029,0.026,0.044,0.045,0.066,0.083,0.096,0.188,0.0,0.0,0.638
0.101,0.001,0.001,0.003,0.002,0.006,0.005,0.01,0.009,0.017,0.016,0.027,0.027,0.04,0.05,0.058,0.114,0.485,0.0,0.871
0.100,0.001,0.001,0.002,0.002,0.005,0.004,0.009,0.008,0.015,0.014,0.023,0.024,0.035,0.044,0.051,0.1,0.023,0.409,0.77
