,0.944,0.889,0.833,0.778,0.722,0.667,0.611,0.556,0.500,0.444,0.389,0.333,0.278,0.222,0.167,0.111,0.056,sum
0.944,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
0.889,0.004,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.833,0.004,0.006,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019
0.778,0.004,0.006,0.009,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033
0.722,0.004,0.006,0.009,0.014,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053
0.667,0.004,0.006,0.009,0.014,0.021,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082
0.611,0.004,0.006,0.009,0.014,0.02,0.029,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122
0.556,0.004,0.006,0.009,0.014,0.02,0.029,0.039,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174
0.500,0.004,0.006,0.009,0.014,0.02,0.028,0.039,0.052,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239
0.444,0.003,0.006,0.009,0.013,0.02,0.028,0.038,0.051,0.066,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319
0.389,0.003,0.005,0.008,0.013,0.019,0.027,0.037,0.049,0.064,0.082,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.411
0.333,0.003,0.005,0.008,0.012,0.018,0.025,0.034,0.046,0.06,0.077,0.099,0.128,0.0,0.0,0.0,0.0,0.0,0.515
0.278,0.003,0.005,0.007,0.011,0.016,0.023,0.031,0.042,0.055,0.07,0.09,0.117,0.156,0.0,0.0,0.0,0.0,0.625
0.222,0.002,0.004,0.006,0.01,0.014,0.02,0.027,0.036,0.048,0.061,0.079,0.102,0.136,0.191,0.0,0.0,0.0,0.736
0.167,0.002,0.003,0.005,0.008,0.011,0.016,0.022,0.03,0.039,0.05,0.064,0.083,0.11,0.156,0.242,0.0,0.0,0.84
0.111,0.001,0.002,0.004,0.006,0.008,0.012,0.016,0.021,0.028,0.036,0.046,0.06,0.08,0.112,0.174,0.323,0.0,0.929
0.056,0.001,0.001,0.002,0.003,0.005,0.006,0.009,0.012,0.015,0.02,0.025,0.033,0.044,0.062,0.096,0.178,0.479,0.992
