,0.958,0.917,0.875,0.833,0.792,0.750,0.708,0.667,0.625,0.583,0.542,0.500,0.458,0.417,0.375,0.333,0.292,0.250,0.208,0.167,0.125,0.083,0.042,sum
0.958,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
0.917,0.003,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011
0.875,0.002,0.005,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018
0.833,0.001,0.003,0.007,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027
0.792,0.001,0.002,0.005,0.01,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039
0.750,0.001,0.001,0.003,0.007,0.014,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054
0.708,0.0,0.001,0.002,0.005,0.01,0.019,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074
0.667,0.0,0.001,0.001,0.003,0.007,0.014,0.026,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099
0.625,0.0,0.0,0.001,0.002,0.005,0.01,0.018,0.034,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131
0.583,0.0,0.0,0.001,0.002,0.004,0.007,0.013,0.025,0.043,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169
0.542,0.0,0.0,0.001,0.001,0.003,0.005,0.01,0.018,0.032,0.055,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215
0.500,0.0,0.0,0.0,0.001,0.002,0.004,0.007,0.014,0.024,0.041,0.067,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269
0.458,0.0,0.0,0.0,0.001,0.001,0.003,0.006,0.01,0.018,0.031,0.051,0.082,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331
0.417,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.008,0.014,0.023,0.039,0.062,0.097,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
0.375,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.01,0.018,0.029,0.046,0.073,0.113,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475
0.333,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.008,0.013,0.022,0.035,0.054,0.084,0.13,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555
0.292,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.01,0.016,0.025,0.039,0.061,0.094,0.147,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.638
0.250,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.007,0.011,0.018,0.028,0.043,0.066,0.103,0.164,0.272,0.0,0.0,0.0,0.0,0.0,0.719
0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.004,0.007,0.012,0.018,0.028,0.044,0.068,0.108,0.18,0.321,0.0,0.0,0.0,0.0,0.797
0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.004,0.007,0.011,0.017,0.026,0.041,0.065,0.109,0.194,0.387,0.0,0.0,0.0,0.868
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.006,0.009,0.013,0.021,0.033,0.055,0.099,0.198,0.484,0.0,0.0,0.927
0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.007,0.012,0.02,0.035,0.071,0.173,0.641,0.0,0.972
0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.009,0.034,0.946,0.998
