,0.958,0.917,0.875,0.833,0.792,0.750,0.708,0.667,0.625,0.583,0.542,0.500,0.458,0.417,0.375,0.333,0.292,0.250,0.208,0.167,0.125,0.083,0.042,sum
0.958,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
0.917,0.003,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
0.875,0.003,0.004,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
0.833,0.003,0.004,0.006,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0.792,0.003,0.004,0.006,0.008,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031
0.750,0.003,0.004,0.006,0.008,0.011,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045
0.708,0.003,0.004,0.006,0.008,0.011,0.014,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063
0.667,0.003,0.004,0.006,0.008,0.011,0.014,0.018,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087
0.625,0.003,0.004,0.006,0.008,0.01,0.014,0.018,0.024,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116
0.583,0.003,0.004,0.006,0.008,0.01,0.014,0.018,0.023,0.03,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152
0.542,0.003,0.004,0.005,0.008,0.01,0.014,0.018,0.023,0.029,0.037,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196
0.500,0.003,0.004,0.005,0.007,0.01,0.014,0.018,0.023,0.029,0.036,0.044,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248
0.458,0.003,0.004,0.005,0.007,0.01,0.013,0.018,0.023,0.029,0.036,0.044,0.053,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307
0.417,0.003,0.004,0.005,0.007,0.01,0.013,0.017,0.022,0.028,0.035,0.043,0.052,0.062,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374
0.375,0.002,0.004,0.005,0.007,0.009,0.013,0.016,0.021,0.027,0.033,0.041,0.05,0.06,0.072,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448
0.333,0.002,0.003,0.005,0.007,0.009,0.012,0.016,0.02,0.026,0.032,0.039,0.047,0.057,0.069,0.083,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527
0.292,0.002,0.003,0.004,0.006,0.008,0.011,0.015,0.019,0.024,0.03,0.036,0.044,0.053,0.064,0.077,0.094,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.609
0.250,0.002,0.003,0.004,0.006,0.008,0.01,0.013,0.017,0.022,0.027,0.033,0.04,0.049,0.058,0.07,0.086,0.107,0.136,0.0,0.0,0.0,0.0,0.0,0.691
0.208,0.002,0.003,0.004,0.005,0.007,0.009,0.012,0.015,0.019,0.024,0.029,0.036,0.043,0.052,0.062,0.076,0.094,0.12,0.161,0.0,0.0,0.0,0.0,0.772
0.167,0.001,0.002,0.003,0.004,0.006,0.008,0.01,0.013,0.016,0.02,0.025,0.03,0.036,0.044,0.053,0.064,0.08,0.102,0.136,0.194,0.0,0.0,0.0,0.846
0.125,0.001,0.002,0.002,0.003,0.005,0.006,0.008,0.01,0.013,0.016,0.02,0.024,0.029,0.035,0.042,0.051,0.063,0.08,0.107,0.153,0.242,0.0,0.0,0.911
0.083,0.001,0.001,0.002,0.002,0.003,0.004,0.006,0.007,0.009,0.011,0.014,0.017,0.02,0.024,0.029,0.036,0.044,0.057,0.076,0.108,0.171,0.321,0.0,0.963
0.042,0.0,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.008,0.009,0.011,0.013,0.016,0.02,0.024,0.031,0.041,0.059,0.093,0.175,0.473,0.998
