,0.944,0.889,0.833,0.778,0.722,0.667,0.611,0.556,0.500,0.444,0.389,0.333,0.278,0.222,0.167,0.111,0.056,sum
0.944,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
0.889,0.003,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
0.833,0.002,0.006,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026
0.778,0.001,0.003,0.01,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042
0.722,0.001,0.002,0.006,0.016,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065
0.667,0.0,0.001,0.003,0.009,0.024,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097
0.611,0.0,0.001,0.002,0.006,0.015,0.036,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0.556,0.0,0.0,0.001,0.004,0.01,0.023,0.051,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195
0.500,0.0,0.0,0.001,0.002,0.006,0.015,0.034,0.07,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265
0.444,0.0,0.0,0.001,0.002,0.004,0.01,0.023,0.047,0.091,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349
0.389,0.0,0.0,0.0,0.001,0.003,0.007,0.015,0.032,0.062,0.115,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.445
0.333,0.0,0.0,0.0,0.001,0.002,0.005,0.01,0.021,0.041,0.076,0.139,0.256,0.0,0.0,0.0,0.0,0.0,0.552
0.278,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.013,0.026,0.049,0.089,0.163,0.311,0.0,0.0,0.0,0.0,0.663
0.222,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.008,0.015,0.029,0.052,0.096,0.183,0.383,0.0,0.0,0.0,0.771
0.167,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.008,0.014,0.026,0.048,0.091,0.191,0.484,0.0,0.0,0.87
0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.005,0.009,0.017,0.032,0.067,0.168,0.645,0.0,0.948
0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.007,0.026,0.958,0.996
