,0.889,0.889,0.778,0.778,0.667,0.667,0.556,0.556,0.445,0.444,0.334,0.333,0.223,0.222,0.112,0.111,sum
0.889,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
0.889,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
0.778,0.004,0.003,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
0.778,0.004,0.003,0.009,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024
0.667,0.004,0.003,0.009,0.008,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065
0.667,0.004,0.003,0.009,0.008,0.02,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062
0.556,0.004,0.003,0.009,0.008,0.02,0.018,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141
0.556,0.004,0.003,0.009,0.008,0.02,0.017,0.039,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134
0.445,0.003,0.003,0.009,0.008,0.019,0.017,0.038,0.033,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266
0.444,0.003,0.003,0.009,0.008,0.019,0.017,0.037,0.033,0.063,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.334,0.003,0.003,0.008,0.007,0.018,0.015,0.034,0.03,0.058,0.055,0.21,0.0,0.0,0.0,0.0,0.0,0.441
0.333,0.003,0.003,0.008,0.007,0.017,0.015,0.032,0.029,0.055,0.053,0.087,0.101,0.0,0.0,0.0,0.0,0.407
0.223,0.002,0.002,0.006,0.005,0.014,0.012,0.027,0.024,0.045,0.044,0.071,0.083,0.311,0.0,0.0,0.0,0.647
0.222,0.002,0.002,0.006,0.005,0.013,0.011,0.024,0.022,0.042,0.04,0.066,0.076,0.097,0.177,0.0,0.0,0.583
0.112,0.001,0.001,0.004,0.003,0.008,0.007,0.015,0.014,0.026,0.025,0.041,0.048,0.061,0.111,0.484,0.0,0.849
0.111,0.001,0.001,0.003,0.003,0.007,0.006,0.013,0.012,0.022,0.021,0.035,0.041,0.052,0.094,0.025,0.396,0.732
