,1.000,0.960,0.920,0.880,0.840,0.800,0.760,0.720,0.680,0.640,0.600,0.560,0.520,0.480,0.440,0.400,0.360,0.320,0.280,0.240,0.200,0.160,0.120,0.080,sum
0.960,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
0.920,0.003,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011
0.880,0.002,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017
0.840,0.001,0.003,0.007,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
0.800,0.001,0.002,0.004,0.009,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036
0.760,0.001,0.001,0.003,0.006,0.013,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0.720,0.0,0.001,0.002,0.004,0.009,0.018,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068
0.680,0.0,0.001,0.001,0.003,0.006,0.013,0.024,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091
0.640,0.0,0.0,0.001,0.002,0.005,0.009,0.017,0.031,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119
0.600,0.0,0.0,0.001,0.002,0.003,0.007,0.012,0.023,0.039,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153
0.560,0.0,0.0,0.001,0.001,0.003,0.005,0.009,0.017,0.029,0.049,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194
0.520,0.0,0.0,0.0,0.001,0.002,0.004,0.007,0.013,0.022,0.037,0.06,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243
0.480,0.0,0.0,0.0,0.001,0.001,0.003,0.005,0.01,0.017,0.028,0.046,0.073,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298
0.440,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.007,0.013,0.022,0.035,0.056,0.087,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361
0.400,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.01,0.017,0.027,0.043,0.066,0.101,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
0.360,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.008,0.013,0.021,0.033,0.051,0.077,0.117,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504
0.320,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.009,0.015,0.024,0.038,0.058,0.088,0.133,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582
0.280,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.007,0.011,0.018,0.028,0.042,0.064,0.097,0.149,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.661
0.240,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.005,0.008,0.013,0.02,0.03,0.045,0.068,0.105,0.166,0.273,0.0,0.0,0.0,0.0,0.0,0.739
0.200,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.008,0.013,0.02,0.03,0.045,0.07,0.11,0.181,0.322,0.0,0.0,0.0,0.0,0.812
0.160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.008,0.012,0.018,0.027,0.042,0.066,0.11,0.194,0.388,0.0,0.0,0.0,0.878
0.120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.004,0.006,0.009,0.014,0.022,0.034,0.056,0.099,0.198,0.484,0.0,0.0,0.933
0.080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.005,0.008,0.012,0.02,0.036,0.071,0.173,0.64,0.0,0.974
0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.01,0.035,0.944,0.998
